09:26:55 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Container image "redis:6.2.6-alpine" already present on machine
09:26:55 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Created container sentinel-config-copy
09:27:11 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Started container sentinel-config-copy
09:27:13 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Container image "redis:6.2.6-alpine" already present on machine
09:27:13 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Created container sentinel
09:27:13 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Started container sentinel
09:32:49 Pod rfs-test-cluster-54df69f8df-hkrqh 858:	Stopping container sentinel
09:37:11 Pod rfs-test-cluster-54df69f8df-jqtj6 2242:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-jqtj6 to acto-cluster-2-worker2
09:37:12 Pod rfs-test-cluster-54df69f8df-jqtj6 2245:	Container image "redis:6.2.6-alpine" already present on machine
09:37:12 Pod rfs-test-cluster-54df69f8df-jqtj6 2245:	Created container sentinel-config-copy
09:37:27 Pod rfs-test-cluster-54df69f8df-jqtj6 2245:	Started container sentinel-config-copy
09:37:29 Pod rfs-test-cluster-54df69f8df-jqtj6 2245:	Container image "redis:6.2.6-alpine" already present on machine
09:37:29 Pod rfs-test-cluster-54df69f8df-jqtj6 2245:	Created container sentinel
09:37:30 Pod rfs-test-cluster-54df69f8df-jqtj6 2245:	Started container sentinel
09:26:54 Pod rfs-test-cluster-54df69f8df-qgctx 846:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-qgctx to acto-cluster-2-worker3
09:26:55 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Container image "redis:6.2.6-alpine" already present on machine
09:26:55 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Created container sentinel-config-copy
09:27:08 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Started container sentinel-config-copy
09:27:10 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Container image "redis:6.2.6-alpine" already present on machine
09:27:10 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Created container sentinel
09:27:10 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Started container sentinel
09:33:39 Pod rfs-test-cluster-54df69f8df-qgctx 850:	Stopping container sentinel
09:36:21 Pod rfs-test-cluster-54df69f8df-qvq9h 2111:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-qvq9h to acto-cluster-2-worker3
09:36:22 Pod rfs-test-cluster-54df69f8df-qvq9h 2114:	Container image "redis:6.2.6-alpine" already present on machine
09:36:22 Pod rfs-test-cluster-54df69f8df-qvq9h 2114:	Created container sentinel-config-copy
09:36:36 Pod rfs-test-cluster-54df69f8df-qvq9h 2114:	Started container sentinel-config-copy
09:36:39 Pod rfs-test-cluster-54df69f8df-qvq9h 2114:	Container image "redis:6.2.6-alpine" already present on machine
09:36:39 Pod rfs-test-cluster-54df69f8df-qvq9h 2114:	Created container sentinel
09:36:39 Pod rfs-test-cluster-54df69f8df-qvq9h 2114:	Started container sentinel
09:26:54 ReplicaSet rfs-test-cluster-54df69f8df 843:	Created pod: rfs-test-cluster-54df69f8df-qgctx
09:26:54 ReplicaSet rfs-test-cluster-54df69f8df 843:	Created pod: rfs-test-cluster-54df69f8df-fdcrq
09:26:54 ReplicaSet rfs-test-cluster-54df69f8df 843:	Created pod: rfs-test-cluster-54df69f8df-hkrqh
