03:47:00 Pod cockroach-operator-manager-57b7fbd794-pxl6m 751:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-pxl6m to acto-cluster-12-worker
03:47:01 Pod cockroach-operator-manager-57b7fbd794-pxl6m 755:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
03:47:01 Pod cockroach-operator-manager-57b7fbd794-pxl6m 755:	Created container cockroach-operator
03:47:01 Pod cockroach-operator-manager-57b7fbd794-pxl6m 755:	Started container cockroach-operator
03:47:51 Pod cockroach-operator-manager-57b7fbd794-pxl6m 755:	Stopping container cockroach-operator
03:47:00 ReplicaSet cockroach-operator-manager-57b7fbd794 747:	Created pod: cockroach-operator-manager-57b7fbd794-pxl6m
03:47:51 ReplicaSet cockroach-operator-manager-57b7fbd794 871:	Deleted pod: cockroach-operator-manager-57b7fbd794-pxl6m
03:47:50 Pod cockroach-operator-manager-64c489884-6wrtr 853:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-6wrtr to acto-cluster-12-worker3
03:47:51 Pod cockroach-operator-manager-64c489884-6wrtr 856:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
03:47:51 Pod cockroach-operator-manager-64c489884-6wrtr 856:	Created container cockroach-operator
03:47:51 Pod cockroach-operator-manager-64c489884-6wrtr 856:	Started container cockroach-operator
03:47:50 ReplicaSet cockroach-operator-manager-64c489884 850:	Created pod: cockroach-operator-manager-64c489884-6wrtr
03:47:00 Deployment cockroach-operator-manager 746:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
03:47:50 Deployment cockroach-operator-manager 849:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
03:47:51 Deployment cockroach-operator-manager 861:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
03:47:59 PersistentVolumeClaim datadir-test-cluster-0 938:	waiting for first consumer to be created before binding
03:47:59 PersistentVolumeClaim datadir-test-cluster-0 947:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:47:59 PersistentVolumeClaim datadir-test-cluster-0 947:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
03:48:04 PersistentVolumeClaim datadir-test-cluster-0 947:	Successfully provisioned volume pvc-7f685138-339f-4afb-b840-8fb3d9d65e5a
03:47:59 PersistentVolumeClaim datadir-test-cluster-1 941:	waiting for first consumer to be created before binding
03:47:59 PersistentVolumeClaim datadir-test-cluster-1 958:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:47:59 PersistentVolumeClaim datadir-test-cluster-1 958:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
03:48:03 PersistentVolumeClaim datadir-test-cluster-1 958:	Successfully provisioned volume pvc-e598fb1e-d8e8-4cb7-ab7e-bab0143fbf98
03:47:59 PersistentVolumeClaim datadir-test-cluster-2 951:	waiting for first consumer to be created before binding
03:47:59 PersistentVolumeClaim datadir-test-cluster-2 964:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:47:59 PersistentVolumeClaim datadir-test-cluster-2 964:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-2"
03:48:03 PersistentVolumeClaim datadir-test-cluster-2 964:	Successfully provisioned volume pvc-90b9ab9f-76b4-4837-95d1-8837bbb3a9bb
03:48:04 Pod test-cluster-0 940:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-12-worker
03:48:05 Pod test-cluster-0 1027:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:05 Pod test-cluster-0 1027:	Created container db-init
03:48:05 Pod test-cluster-0 1027:	Started container db-init
03:48:05 Pod test-cluster-0 1027:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:05 Pod test-cluster-0 1027:	Created container db
