05:48:57 Pod rfr-test-cluster-2 1671:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.58647ms
05:48:57 Pod rfr-test-cluster-2 1671:	Created container redis-exporter
05:49:00 Pod rfr-test-cluster-2 1671:	Started container redis-exporter
05:42:58 PodDisruptionBudget rfr-test-cluster 845:	No matching pods found
05:42:58 StatefulSet rfr-test-cluster 849:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
05:42:58 StatefulSet rfr-test-cluster 849:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
05:42:58 StatefulSet rfr-test-cluster 849:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
05:42:58 Pod rfs-test-cluster-54df69f8df-gtkf4 883:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-gtkf4 to acto-cluster-7-worker2
05:43:03 Pod rfs-test-cluster-54df69f8df-gtkf4 889:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-gtkf4 889:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-gtkf4 889:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-gtkf4 889:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-gtkf4 889:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-gtkf4 889:	Started container sentinel
05:42:58 Pod rfs-test-cluster-54df69f8df-k8l64 882:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-k8l64 to acto-cluster-7-worker
05:43:03 Pod rfs-test-cluster-54df69f8df-k8l64 888:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-k8l64 888:	Created container sentinel-config-copy
05:43:39 Pod rfs-test-cluster-54df69f8df-k8l64 888:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-k8l64 888:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-k8l64 888:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-k8l64 888:	Started container sentinel
05:42:58 Pod rfs-test-cluster-54df69f8df-t74gd 879:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-t74gd to acto-cluster-7-worker3
05:43:03 Pod rfs-test-cluster-54df69f8df-t74gd 884:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-t74gd 884:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-t74gd 884:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-t74gd 884:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-t74gd 884:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-t74gd 884:	Started container sentinel
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 876:	Created pod: rfs-test-cluster-54df69f8df-t74gd
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 876:	Created pod: rfs-test-cluster-54df69f8df-gtkf4
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 876:	Created pod: rfs-test-cluster-54df69f8df-k8l64
05:42:58 PodDisruptionBudget rfs-test-cluster 871:	No matching pods found
05:42:58 Deployment rfs-test-cluster 875:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
