07:07:51 Pod rfr-test-cluster-2 2365:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:07:51 Pod rfr-test-cluster-2 2365:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.89508ms
07:07:51 Pod rfr-test-cluster-2 2365:	Created container redis-exporter
07:07:54 Pod rfr-test-cluster-2 2365:	Started container redis-exporter
07:08:30 Pod rfr-test-cluster-2 2365:	Readiness probe failed: 
06:54:46 PodDisruptionBudget rfr-test-cluster 824:	No matching pods found
06:54:46 StatefulSet rfr-test-cluster 826:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:54:46 StatefulSet rfr-test-cluster 826:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:54:46 StatefulSet rfr-test-cluster 826:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:57:50 StatefulSet rfr-test-cluster 1337:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
06:58:20 StatefulSet rfr-test-cluster 1337:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
06:54:46 Pod rfs-test-cluster-54df69f8df-hvn58 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hvn58 to acto-cluster-2-worker2
06:54:47 Pod rfs-test-cluster-54df69f8df-hvn58 861:	Container image "redis:6.2.6-alpine" already present on machine
06:54:47 Pod rfs-test-cluster-54df69f8df-hvn58 861:	Created container sentinel-config-copy
06:55:05 Pod rfs-test-cluster-54df69f8df-hvn58 861:	Started container sentinel-config-copy
06:55:07 Pod rfs-test-cluster-54df69f8df-hvn58 861:	Container image "redis:6.2.6-alpine" already present on machine
06:55:07 Pod rfs-test-cluster-54df69f8df-hvn58 861:	Created container sentinel
06:55:08 Pod rfs-test-cluster-54df69f8df-hvn58 861:	Started container sentinel
06:54:46 Pod rfs-test-cluster-54df69f8df-rrj25 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rrj25 to acto-cluster-2-worker3
06:54:48 Pod rfs-test-cluster-54df69f8df-rrj25 870:	Container image "redis:6.2.6-alpine" already present on machine
06:54:48 Pod rfs-test-cluster-54df69f8df-rrj25 870:	Created container sentinel-config-copy
06:55:03 Pod rfs-test-cluster-54df69f8df-rrj25 870:	Started container sentinel-config-copy
06:55:06 Pod rfs-test-cluster-54df69f8df-rrj25 870:	Container image "redis:6.2.6-alpine" already present on machine
06:55:06 Pod rfs-test-cluster-54df69f8df-rrj25 870:	Created container sentinel
06:55:07 Pod rfs-test-cluster-54df69f8df-rrj25 870:	Started container sentinel
06:54:46 Pod rfs-test-cluster-54df69f8df-s2vnm 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-s2vnm to acto-cluster-2-worker
06:54:48 Pod rfs-test-cluster-54df69f8df-s2vnm 867:	Container image "redis:6.2.6-alpine" already present on machine
06:54:48 Pod rfs-test-cluster-54df69f8df-s2vnm 867:	Created container sentinel-config-copy
06:55:03 Pod rfs-test-cluster-54df69f8df-s2vnm 867:	Started container sentinel-config-copy
06:55:06 Pod rfs-test-cluster-54df69f8df-s2vnm 867:	Container image "redis:6.2.6-alpine" already present on machine
06:55:06 Pod rfs-test-cluster-54df69f8df-s2vnm 867:	Created container sentinel
06:55:06 Pod rfs-test-cluster-54df69f8df-s2vnm 867:	Started container sentinel
06:54:46 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-hvn58
06:54:46 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-s2vnm
06:54:46 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-rrj25
06:54:46 PodDisruptionBudget rfs-test-cluster 850:	No matching pods found
06:54:46 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
