I0402 13:13:36.410090       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:13:54.814347       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:13:54.815010       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:14:24.814498       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:14:24.814600       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:14:54.814617       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:14:54.815005       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:15:24.815026       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:15:24.815198       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:15:54.815034       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:15:54.815137       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:16:24.815058       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:16:24.815157       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:16:54.815260       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:16:54.815368       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"4507", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
