05:42:48 Pod redisoperator-56c8dfdfb-6j9ng 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6j9ng to acto-cluster-1-worker
05:56:33 Pod rfr-test-cluster-2 2405:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:56:33 Pod rfr-test-cluster-2 2405:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.787762ms
05:56:33 Pod rfr-test-cluster-2 2405:	Created container redis-exporter
05:56:36 Pod rfr-test-cluster-2 2405:	Started container redis-exporter
05:57:12 Pod rfr-test-cluster-2 2405:	Readiness probe failed: 
05:42:57 PodDisruptionBudget rfr-test-cluster 842:	No matching pods found
05:43:23 StatefulSet rfr-test-cluster 889:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
05:43:23 StatefulSet rfr-test-cluster 889:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
05:43:23 StatefulSet rfr-test-cluster 889:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
05:46:27 StatefulSet rfr-test-cluster 1359:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.tolerations[0].operator: Invalid value: "": operator must be Exists when `key` is empty, which means "match all values and all keys"
05:47:24 StatefulSet rfr-test-cluster 1373:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.tolerations[0].operator: Invalid value: "": operator must be Exists when `key` is empty, which means "match all values and all keys"
05:43:23 Pod rfs-test-cluster-54df69f8df-7l97c 917:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7l97c to acto-cluster-1-worker
05:43:39 Pod rfs-test-cluster-54df69f8df-7l97c 920:	Container image "redis:6.2.6-alpine" already present on machine
05:43:39 Pod rfs-test-cluster-54df69f8df-7l97c 920:	Created container sentinel-config-copy
05:43:55 Pod rfs-test-cluster-54df69f8df-7l97c 920:	Started container sentinel-config-copy
05:43:57 Pod rfs-test-cluster-54df69f8df-7l97c 920:	Container image "redis:6.2.6-alpine" already present on machine
05:43:57 Pod rfs-test-cluster-54df69f8df-7l97c 920:	Created container sentinel
05:43:57 Pod rfs-test-cluster-54df69f8df-7l97c 920:	Started container sentinel
