06:55:29 Pod redisoperator-56c8dfdfb-kvkrj 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kvkrj to acto-cluster-10-worker
06:55:33 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Created container sentinel-config-copy
06:55:47 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Started container sentinel-config-copy
06:55:49 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Container image "redis:6.2.6-alpine" already present on machine
06:55:49 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Created container sentinel
06:55:49 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Started container sentinel
07:01:06 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Stopping container sentinel
06:55:32 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-2p8hw
06:55:32 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-rt62s
06:55:32 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-kmqvw
06:59:25 ReplicaSet rfs-test-cluster-54df69f8df 1420:	Deleted pod: rfs-test-cluster-54df69f8df-2p8hw
07:00:16 ReplicaSet rfs-test-cluster-54df69f8df 1546:	Deleted pod: rfs-test-cluster-54df69f8df-kmqvw
07:01:06 ReplicaSet rfs-test-cluster-54df69f8df 1677:	Deleted pod: rfs-test-cluster-54df69f8df-rt62s
07:03:48 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2042:	Successfully assigned acto-namespace/rfs-test-cluster-6b8f7dc5c8-5nwpr to acto-cluster-10-worker
07:03:49 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2043:	Container image "redis:6.2.6-alpine" already present on machine
07:03:49 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2043:	Created container sentinel-config-copy
07:04:04 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2043:	Started container sentinel-config-copy
07:04:06 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2043:	Container image "redis:6.2.6-alpine" already present on machine
07:04:06 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2043:	Created container sentinel
07:04:06 Pod rfs-test-cluster-6b8f7dc5c8-5nwpr 2043:	Started container sentinel
07:02:58 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1915:	Successfully assigned acto-namespace/rfs-test-cluster-6b8f7dc5c8-hmwz6 to acto-cluster-10-worker3
07:02:58 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1918:	Container image "redis:6.2.6-alpine" already present on machine
07:02:58 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1918:	Created container sentinel-config-copy
07:03:13 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1918:	Started container sentinel-config-copy
07:03:15 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1918:	Container image "redis:6.2.6-alpine" already present on machine
07:03:15 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1918:	Created container sentinel
07:03:15 Pod rfs-test-cluster-6b8f7dc5c8-hmwz6 1918:	Started container sentinel
07:02:08 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1798:	Successfully assigned acto-namespace/rfs-test-cluster-6b8f7dc5c8-sxn6n to acto-cluster-10-worker2
07:02:08 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1802:	Container image "redis:6.2.6-alpine" already present on machine
07:02:08 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1802:	Created container sentinel-config-copy
07:02:21 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1802:	Started container sentinel-config-copy
07:02:24 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1802:	Container image "redis:6.2.6-alpine" already present on machine
07:02:24 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1802:	Created container sentinel
07:02:24 Pod rfs-test-cluster-6b8f7dc5c8-sxn6n 1802:	Started container sentinel
07:02:08 ReplicaSet rfs-test-cluster-6b8f7dc5c8 1795:	Created pod: rfs-test-cluster-6b8f7dc5c8-sxn6n
07:02:58 ReplicaSet rfs-test-cluster-6b8f7dc5c8 1912:	Created pod: rfs-test-cluster-6b8f7dc5c8-hmwz6
07:03:48 ReplicaSet rfs-test-cluster-6b8f7dc5c8 2039:	Created pod: rfs-test-cluster-6b8f7dc5c8-5nwpr
06:59:25 Pod rfs-test-cluster-db9b7ff94-64cq4 1432:	Successfully assigned acto-namespace/rfs-test-cluster-db9b7ff94-64cq4 to acto-cluster-10-worker
06:59:26 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Container image "redis:6.2.6-alpine" already present on machine
06:59:26 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Created container sentinel-config-copy
06:59:38 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Started container sentinel-config-copy
06:59:40 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Container image "redis:6.2.6-alpine" already present on machine
06:59:41 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Created container sentinel
06:59:41 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Started container sentinel
07:04:38 Pod rfs-test-cluster-db9b7ff94-64cq4 1435:	Stopping container sentinel
