23:36:11 Pod test-cluster-follower-1 1857:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:36:11 Pod test-cluster-follower-1 1857:	Created container redis-exporter
23:36:12 Pod test-cluster-follower-1 1857:	Started container redis-exporter
23:39:18 Pod test-cluster-follower-1 1857:	Stopping container test-cluster-follower
23:39:18 Pod test-cluster-follower-1 1857:	Stopping container redis-exporter
23:39:49 Pod test-cluster-follower-1 2658:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-11-worker
23:39:51 Pod test-cluster-follower-1 2659:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:39:51 Pod test-cluster-follower-1 2659:	Created container test-cluster-follower
23:39:52 Pod test-cluster-follower-1 2659:	Started container test-cluster-follower
23:39:52 Pod test-cluster-follower-1 2659:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:39:53 Pod test-cluster-follower-1 2659:	Created container redis-exporter
23:39:54 Pod test-cluster-follower-1 2659:	Started container redis-exporter
23:43:00 Pod test-cluster-follower-1 2659:	Stopping container test-cluster-follower
23:43:00 Pod test-cluster-follower-1 2659:	Stopping container redis-exporter
23:43:30 Pod test-cluster-follower-1 3464:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-11-worker
23:43:32 Pod test-cluster-follower-1 3465:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:43:32 Pod test-cluster-follower-1 3465:	Created container test-cluster-follower
23:43:34 Pod test-cluster-follower-1 3465:	Started container test-cluster-follower
23:43:34 Pod test-cluster-follower-1 3465:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:43:34 Pod test-cluster-follower-1 3465:	Created container redis-exporter
23:43:35 Pod test-cluster-follower-1 3465:	Started container redis-exporter
23:46:41 Pod test-cluster-follower-1 3465:	Stopping container test-cluster-follower
23:46:41 Pod test-cluster-follower-1 3465:	Stopping container redis-exporter
23:47:12 Pod test-cluster-follower-1 4263:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-11-worker
23:47:14 Pod test-cluster-follower-1 4264:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:47:14 Pod test-cluster-follower-1 4264:	Created container test-cluster-follower
23:47:15 Pod test-cluster-follower-1 4264:	Started container test-cluster-follower
23:47:15 Pod test-cluster-follower-1 4264:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:47:15 Pod test-cluster-follower-1 4264:	Created container redis-exporter
23:47:16 Pod test-cluster-follower-1 4264:	Started container redis-exporter
23:33:28 Pod test-cluster-follower-2 1240:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-11-worker2
23:33:29 Pod test-cluster-follower-2 1284:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:33:29 Pod test-cluster-follower-2 1284:	Created container test-cluster-follower
23:33:30 Pod test-cluster-follower-2 1284:	Started container test-cluster-follower
23:33:30 Pod test-cluster-follower-2 1284:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:33:30 Pod test-cluster-follower-2 1284:	Created container redis-exporter
23:33:32 Pod test-cluster-follower-2 1284:	Started container redis-exporter
23:34:35 Pod test-cluster-follower-2 1284:	Stopping container test-cluster-follower
23:34:35 Pod test-cluster-follower-2 1284:	Stopping container redis-exporter
23:35:06 Pod test-cluster-follower-2 1623:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-11-worker2
23:35:08 Pod test-cluster-follower-2 1624:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:35:08 Pod test-cluster-follower-2 1624:	Created container test-cluster-follower
23:35:10 Pod test-cluster-follower-2 1624:	Started container test-cluster-follower
23:35:10 Pod test-cluster-follower-2 1624:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:35:10 Pod test-cluster-follower-2 1624:	Created container redis-exporter
23:35:11 Pod test-cluster-follower-2 1624:	Started container redis-exporter
23:38:17 Pod test-cluster-follower-2 1624:	Stopping container test-cluster-follower
23:38:17 Pod test-cluster-follower-2 1624:	Stopping container redis-exporter
23:38:48 Pod test-cluster-follower-2 2429:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-11-worker2
23:38:50 Pod test-cluster-follower-2 2430:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:38:50 Pod test-cluster-follower-2 2430:	Created container test-cluster-follower
23:38:51 Pod test-cluster-follower-2 2430:	Started container test-cluster-follower
23:38:51 Pod test-cluster-follower-2 2430:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:38:51 Pod test-cluster-follower-2 2430:	Created container redis-exporter
23:38:52 Pod test-cluster-follower-2 2430:	Started container redis-exporter
23:41:58 Pod test-cluster-follower-2 2430:	Stopping container test-cluster-follower
23:41:58 Pod test-cluster-follower-2 2430:	Stopping container redis-exporter
23:42:29 Pod test-cluster-follower-2 3236:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-11-worker2
23:42:30 Pod test-cluster-follower-2 3237:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:42:30 Pod test-cluster-follower-2 3237:	Created container test-cluster-follower
23:42:32 Pod test-cluster-follower-2 3237:	Started container test-cluster-follower
23:42:32 Pod test-cluster-follower-2 3237:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:42:32 Pod test-cluster-follower-2 3237:	Created container redis-exporter
23:42:33 Pod test-cluster-follower-2 3237:	Started container redis-exporter
23:45:40 Pod test-cluster-follower-2 3237:	Stopping container test-cluster-follower
23:45:40 Pod test-cluster-follower-2 3237:	Stopping container redis-exporter
23:46:11 Pod test-cluster-follower-2 4029:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-11-worker2
23:46:13 Pod test-cluster-follower-2 4030:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:46:13 Pod test-cluster-follower-2 4030:	Created container test-cluster-follower
23:46:14 Pod test-cluster-follower-2 4030:	Started container test-cluster-follower
23:46:14 Pod test-cluster-follower-2 4030:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:46:14 Pod test-cluster-follower-2 4030:	Created container redis-exporter
23:46:16 Pod test-cluster-follower-2 4030:	Started container redis-exporter
23:32:13 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 888:	waiting for first consumer to be created before binding
23:32:13 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 896:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
