06:35:34 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Container image "redis:6.2.6-alpine" already present on machine
06:35:34 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Created container sentinel-config-copy
06:35:48 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Started container sentinel-config-copy
06:35:51 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Container image "redis:6.2.6-alpine" already present on machine
06:35:51 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Created container sentinel
06:35:51 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Started container sentinel
06:40:15 Pod rfs-test-cluster-54df69f8df-pzf9f 896:	Stopping container sentinel
06:35:33 ReplicaSet rfs-test-cluster-54df69f8df 883:	Created pod: rfs-test-cluster-54df69f8df-jsngw
06:35:33 ReplicaSet rfs-test-cluster-54df69f8df 883:	Created pod: rfs-test-cluster-54df69f8df-pzf9f
06:35:33 ReplicaSet rfs-test-cluster-54df69f8df 883:	Created pod: rfs-test-cluster-54df69f8df-lnb7v
06:39:25 ReplicaSet rfs-test-cluster-54df69f8df 1452:	Deleted pod: rfs-test-cluster-54df69f8df-jsngw
06:40:15 ReplicaSet rfs-test-cluster-54df69f8df 1584:	Deleted pod: rfs-test-cluster-54df69f8df-pzf9f
06:41:06 ReplicaSet rfs-test-cluster-54df69f8df 1718:	Deleted pod: rfs-test-cluster-54df69f8df-lnb7v
06:46:33 Pod rfs-test-cluster-69fdbb97b6-4m847 2467:	Successfully assigned acto-namespace/rfs-test-cluster-69fdbb97b6-4m847 to acto-cluster-8-worker
06:46:35 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Container image "redis:6.2.6-alpine" already present on machine
06:46:35 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Created container sentinel-config-copy
06:46:48 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Started container sentinel-config-copy
06:46:50 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Container image "redis:6.2.6-alpine" already present on machine
06:46:50 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Created container sentinel
06:46:51 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Started container sentinel
06:46:51 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:46:51 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.928811ms
06:46:51 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Created container sentinel-exporter
06:46:53 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Started container sentinel-exporter
06:51:49 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Stopping container sentinel
06:51:49 Pod rfs-test-cluster-69fdbb97b6-4m847 2471:	Stopping container sentinel-exporter
06:39:25 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1465:	Successfully assigned acto-namespace/rfs-test-cluster-69fdbb97b6-6vn9t to acto-cluster-8-worker
06:39:26 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Container image "redis:6.2.6-alpine" already present on machine
06:39:26 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Created container sentinel-config-copy
06:39:39 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Started container sentinel-config-copy
06:39:41 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Container image "redis:6.2.6-alpine" already present on machine
06:39:41 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Created container sentinel
06:39:41 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Started container sentinel
06:39:41 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:42 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.584634ms
06:39:42 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Created container sentinel-exporter
06:39:44 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Started container sentinel-exporter
06:43:48 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Stopping container sentinel
06:43:48 Pod rfs-test-cluster-69fdbb97b6-6vn9t 1467:	Stopping container sentinel-exporter
06:38:35 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1342:	Successfully assigned acto-namespace/rfs-test-cluster-69fdbb97b6-9tfkr to acto-cluster-8-worker3
06:38:36 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Container image "redis:6.2.6-alpine" already present on machine
06:38:36 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Created container sentinel-config-copy
06:38:49 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Started container sentinel-config-copy
06:38:51 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Container image "redis:6.2.6-alpine" already present on machine
06:38:51 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Created container sentinel
06:38:51 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Started container sentinel
